"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"CZE","INDPROD","TOT","IDX2015","M","2021-04",114.9808,
"CZE","INDPROD","TOT","IDX2015","M","2021-05",111.2815,
"CZE","INDPROD","TOT","IDX2015","M","2021-06",112.5812,
"DNK","INDPROD","TOT","IDX2015","M","2019-10",110,
"DNK","INDPROD","TOT","IDX2015","M","2019-11",105,
"DNK","INDPROD","TOT","IDX2015","M","2019-12",112,
"DNK","INDPROD","TOT","IDX2015","M","2020-01",107,
"DNK","INDPROD","TOT","IDX2015","M","2020-02",109,
"DNK","INDPROD","TOT","IDX2015","M","2020-03",108.2,
"DNK","INDPROD","TOT","IDX2015","M","2020-04",102.7,
"DNK","INDPROD","TOT","IDX2015","M","2020-05",99.9,
"DNK","INDPROD","TOT","IDX2015","M","2020-06",105.6,
"DNK","INDPROD","TOT","IDX2015","M","2020-07",100.4,
"DNK","INDPROD","TOT","IDX2015","M","2020-08",105,
"DNK","INDPROD","TOT","IDX2015","M","2020-09",107.3,
"DNK","INDPROD","TOT","IDX2015","M","2020-10",100.6,
"DNK","INDPROD","TOT","IDX2015","M","2020-11",107.9,
"DNK","INDPROD","TOT","IDX2015","M","2020-12",108.7,
"DNK","INDPROD","TOT","IDX2015","M","2021-01",109.4,
"DNK","INDPROD","TOT","IDX2015","M","2021-02",107.9,
"DNK","INDPROD","TOT","IDX2015","M","2021-03",113.8,
"DNK","INDPROD","TOT","IDX2015","M","2021-04",110.5,
"DNK","INDPROD","TOT","IDX2015","M","2021-05",111.2,
"DNK","INDPROD","TOT","IDX2015","M","2021-06",109.7,
"FIN","INDPROD","TOT","IDX2015","M","2019-10",112.8188,
"FIN","INDPROD","TOT","IDX2015","M","2019-11",112.3187,
"FIN","INDPROD","TOT","IDX2015","M","2019-12",112.4187,
"FIN","INDPROD","TOT","IDX2015","M","2020-01",110.7185,
"FIN","INDPROD","TOT","IDX2015","M","2020-02",109.9183,
"FIN","INDPROD","TOT","IDX2015","M","2020-03",113.4189,
"FIN","INDPROD","TOT","IDX2015","M","2020-04",109.9183,
"FIN","INDPROD","TOT","IDX2015","M","2020-05",106.7178,
"FIN","INDPROD","TOT","IDX2015","M","2020-06",107.4179,
"FIN","INDPROD","TOT","IDX2015","M","2020-07",108.5181,
"FIN","INDPROD","TOT","IDX2015","M","2020-08",109.7183,
"FIN","INDPROD","TOT","IDX2015","M","2020-09",107.718,
"FIN","INDPROD","TOT","IDX2015","M","2020-10",109.6183,
"FIN","INDPROD","TOT","IDX2015","M","2020-11",110.6184,
"FIN","INDPROD","TOT","IDX2015","M","2020-12",110.2184,
"FIN","INDPROD","TOT","IDX2015","M","2021-01",110.4184,
"FIN","INDPROD","TOT","IDX2015","M","2021-02",113.0188,
"FIN","INDPROD","TOT","IDX2015","M","2021-03",110.5184,
"FIN","INDPROD","TOT","IDX2015","M","2021-04",112.0187,
"FIN","INDPROD","TOT","IDX2015","M","2021-05",114.3191,
"FIN","INDPROD","TOT","IDX2015","M","2021-06",112.2187,
"FRA","INDPROD","TOT","IDX2015","M","2019-10",103.62,
"FRA","INDPROD","TOT","IDX2015","M","2019-11",103.59,
"FRA","INDPROD","TOT","IDX2015","M","2019-12",101.18,
"FRA","INDPROD","TOT","IDX2015","M","2020-01",101.33,
"FRA","INDPROD","TOT","IDX2015","M","2020-02",103.16,
"FRA","INDPROD","TOT","IDX2015","M","2020-03",85.48,
"FRA","INDPROD","TOT","IDX2015","M","2020-04",67.81,
"FRA","INDPROD","TOT","IDX2015","M","2020-05",80.76,
"FRA","INDPROD","TOT","IDX2015","M","2020-06",91.23,
"FRA","INDPROD","TOT","IDX2015","M","2020-07",94.46,
"FRA","INDPROD","TOT","IDX2015","M","2020-08",95.45,
"FRA","INDPROD","TOT","IDX2015","M","2020-09",96.98,
"FRA","INDPROD","TOT","IDX2015","M","2020-10",99.08,
"FRA","INDPROD","TOT","IDX2015","M","2020-11",98.5,
"FRA","INDPROD","TOT","IDX2015","M","2020-12",98,
"FRA","INDPROD","TOT","IDX2015","M","2021-01",101.41,
"FRA","INDPROD","TOT","IDX2015","M","2021-02",96.75,
"FRA","INDPROD","TOT","IDX2015","M","2021-03",97.71,
"FRA","INDPROD","TOT","IDX2015","M","2021-04",97.65,
"FRA","INDPROD","TOT","IDX2015","M","2021-05",97.29,
"FRA","INDPROD","TOT","IDX2015","M","2021-06",97.69,
"DEU","INDPROD","TOT","IDX2015","M","2019-10",99.39172,
"DEU","INDPROD","TOT","IDX2015","M","2019-11",99.89168,
"DEU","INDPROD","TOT","IDX2015","M","2019-12",98.19182,
"DEU","INDPROD","TOT","IDX2015","M","2020-01",100.5916,
"DEU","INDPROD","TOT","IDX2015","M","2020-02",102.0915,
"DEU","INDPROD","TOT","IDX2015","M","2020-03",90.99242,
"DEU","INDPROD","TOT","IDX2015","M","2020-04",70.89409,
"DEU","INDPROD","TOT","IDX2015","M","2020-05",79.1934,
"DEU","INDPROD","TOT","IDX2015","M","2020-06",88.29264,
"DEU","INDPROD","TOT","IDX2015","M","2020-07",89.9925,
"DEU","INDPROD","TOT","IDX2015","M","2020-08",89.69253,
"DEU","INDPROD","TOT","IDX2015","M","2020-09",91.89234,
"DEU","INDPROD","TOT","IDX2015","M","2020-10",95.09208,
"DEU","INDPROD","TOT","IDX2015","M","2020-11",96.29198,
"DEU","INDPROD","TOT","IDX2015","M","2020-12",97.69186,
"DEU","INDPROD","TOT","IDX2015","M","2021-01",97.49187,
"DEU","INDPROD","TOT","IDX2015","M","2021-02",95.49204,
"DEU","INDPROD","TOT","IDX2015","M","2021-03",96.29198,
"DEU","INDPROD","TOT","IDX2015","M","2021-04",95.89201,
"DEU","INDPROD","TOT","IDX2015","M","2021-05",95.19207,
"DEU","INDPROD","TOT","IDX2015","M","2021-06",94.59212,
"GRC","INDPROD","TOT","IDX2015","M","2019-10",107.7743,
"GRC","INDPROD","TOT","IDX2015","M","2019-11",101.8811,
"GRC","INDPROD","TOT","IDX2015","M","2019-12",106.0762,
"GRC","INDPROD","TOT","IDX2015","M","2020-01",110.6709,
"GRC","INDPROD","TOT","IDX2015","M","2020-02",106.7754,
"GRC","INDPROD","TOT","IDX2015","M","2020-03",107.7743,
"GRC","INDPROD","TOT","IDX2015","M","2020-04",97.38638,
"GRC","INDPROD","TOT","IDX2015","M","2020-05",99.58382,
"GRC","INDPROD","TOT","IDX2015","M","2020-06",103.0797,
"GRC","INDPROD","TOT","IDX2015","M","2020-07",106.3759,
"GRC","INDPROD","TOT","IDX2015","M","2020-08",104.9775,
"GRC","INDPROD","TOT","IDX2015","M","2020-09",107.0751,
"GRC","INDPROD","TOT","IDX2015","M","2020-10",104.2783,
"GRC","INDPROD","TOT","IDX2015","M","2020-11",110.9705,
"GRC","INDPROD","TOT","IDX2015","M","2020-12",110.8707,
"GRC","INDPROD","TOT","IDX2015","M","2021-01",114.4665,
"GRC","INDPROD","TOT","IDX2015","M","2021-02",111.5698,
"GRC","INDPROD","TOT","IDX2015","M","2021-03",113.967,
"GRC","INDPROD","TOT","IDX2015","M","2021-04",118.7614,
"GRC","INDPROD","TOT","IDX2015","M","2021-05",113.3677,
"GRC","INDPROD","TOT","IDX2015","M","2021-06",112.5687,
"HUN","INDPROD","TOT","IDX2015","M","2019-10",117.1098,
"HUN","INDPROD","TOT","IDX2015","M","2019-11",116.0097,
"HUN","INDPROD","TOT","IDX2015","M","2019-12",112.7094,
"HUN","INDPROD","TOT","IDX2015","M","2020-01",118.3099,
"HUN","INDPROD","TOT","IDX2015","M","2020-02",116.5097,
"HUN","INDPROD","TOT","IDX2015","M","2020-03",104.4087,
"HUN","INDPROD","TOT","IDX2015","M","2020-04",73.2061,
"HUN","INDPROD","TOT","IDX2015","M","2020-05",86.20718,
"HUN","INDPROD","TOT","IDX2015","M","2020-06",101.4084,
"HUN","INDPROD","TOT","IDX2015","M","2020-07",108.409,
"HUN","INDPROD","TOT","IDX2015","M","2020-08",115.2096,
"HUN","INDPROD","TOT","IDX2015","M","2020-09",116.8097,
"HUN","INDPROD","TOT","IDX2015","M","2020-10",119.0099,
"HUN","INDPROD","TOT","IDX2015","M","2020-11",118.0098,
"HUN","INDPROD","TOT","IDX2015","M","2020-12",116.2097,
"HUN","INDPROD","TOT","IDX2015","M","2021-01",115.2096,
